epoch_idx	precision_5	recall_5	ndcg_5	precision_10	recall_10	ndcg_10
10.0	0.22639824450016022	0.049644120037555695	0.23625861786177046	0.21051456034183502	0.09122393280267715	0.2271425929007111
20.0	0.2832214832305908	0.06360683590173721	0.30062729179660047	0.25212526321411133	0.11056399345397949	0.28019702020979026
30.0	0.30067116022109985	0.06625472009181976	0.31279558890195663	0.26487699151039124	0.11435770988464355	0.29012759653342113
40.0	0.304250568151474	0.06716092675924301	0.31467569338323215	0.2651006579399109	0.11406157165765762	0.28989098425622806
50.0	0.296196848154068	0.06565605103969574	0.30682001426635364	0.26085010170936584	0.11254700273275375	0.28489891386242117
60.0	0.28859061002731323	0.06427191942930222	0.3003104240356093	0.25749439001083374	0.11405840516090393	0.28108036617026827
70.0	0.2782997488975525	0.05921738222241402	0.2935558152196623	0.2512304186820984	0.10877709090709686	0.2759830108463904
80.0	0.2697986662387848	0.05732812359929085	0.2837836821123881	0.24630871415138245	0.1080479770898819	0.269146438187705
90.0	0.2720358371734619	0.05908052995800972	0.28132935458329805	0.2447427362203598	0.10540138185024261	0.2649460805280704
100.0	0.26442956924438477	0.05686648190021515	0.27417847406984186	0.2427293062210083	0.10442835092544556	0.26200853057787765
110.0	0.2671141028404236	0.05738775059580803	0.2770638342065708	0.23467563092708588	0.10056063532829285	0.2572553604390084
120.0	0.2653243839740753	0.05739301070570946	0.2725061559400531	0.23400448262691498	0.10126722604036331	0.25405790352150776
130.0	0.26174497604370117	0.05602395907044411	0.27089300051801535	0.23333333432674408	0.10049902647733688	0.25361611796960887
140.0	0.26040270924568176	0.056400563567876816	0.2708406593672639	0.2308724820613861	0.09927816689014435	0.25271777595219386
