epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.22639824450016022	0.049644120037555695	0.2362392700307554	0.21073827147483826	0.09127596020698547	0.22727236586748378
20.0	0.2836689054965973	0.06367462873458862	0.30092081545993915	0.2525727152824402	0.11068038642406464	0.28048796814021143
30.0	0.30067116022109985	0.06625472009181976	0.3128755837154555	0.26487699151039124	0.11435770988464355	0.2901830799253964
40.0	0.304250568151474	0.06716092675924301	0.3145763507387182	0.2651006579399109	0.11406157165765762	0.28981771969048514
50.0	0.2970917224884033	0.06578052788972855	0.3071270304061425	0.2606264054775238	0.11243513971567154	0.2846293039459101
60.0	0.28859061002731323	0.06443970650434494	0.30041562203468813	0.2572706937789917	0.11361097544431686	0.28095967901139063
70.0	0.2791946232318878	0.05973060801625252	0.2941096113778151	0.25167784094810486	0.10928665846586227	0.2763990866811672
80.0	0.2697986662387848	0.05734933912754059	0.28361783713082556	0.2460850179195404	0.1079302430152893	0.26885714066773503
90.0	0.2720358371734619	0.05908052995800972	0.28134870241431315	0.2447427213191986	0.10548001527786255	0.2649605967019515
100.0	0.2653243839740753	0.05733845382928848	0.27464683092099	0.24250559508800507	0.10433391481637955	0.26182845273639094
110.0	0.2671141028404236	0.057268425822257996	0.276583766646293	0.23512305319309235	0.10105372220277786	0.25728571582966636
120.0	0.2657718360424042	0.05746482312679291	0.2727996796033917	0.23400446772575378	0.10128416866064072	0.2540622047300914
130.0	0.26085013151168823	0.0555143877863884	0.27051049383493087	0.23310960829257965	0.10040303319692612	0.25357826934299627
140.0	0.2599552869796753	0.05628281831741333	0.27054713570392536	0.23176734149456024	0.09969440847635269	0.2532442141991859
