epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.21923936903476715	0.0452098622918129	0.22776601543381747	0.20134228467941284	0.08387167006731033	0.21733199476972256
20.0	0.2890380620956421	0.06252200156450272	0.30486919707447896	0.24362416565418243	0.10583598166704178	0.2736741977776969
30.0	0.2944071590900421	0.06550010293722153	0.30993940737102654	0.254138708114624	0.11031053960323334	0.282902915563523
40.0	0.2935122847557068	0.06362424045801163	0.3113414635739734	0.25771814584732056	0.11033232510089874	0.2861187637158409
50.0	0.29217004776000977	0.06261862069368362	0.3085540746632374	0.25682327151298523	0.10895480215549469	0.2843686161275567
60.0	0.2917225956916809	0.06445151567459106	0.3035209912516295	0.25570470094680786	0.10763557255268097	0.2802708982113602
70.0	0.281879186630249	0.06161064654588699	0.2962580775174273	0.25369128584861755	0.10640405863523483	0.2773506362388242
80.0	0.27740493416786194	0.059236593544483185	0.29363677059062304	0.24832215905189514	0.1060710996389389	0.2733864266878257
90.0	0.27740493416786194	0.06059183552861214	0.29051324793677724	0.24049216508865356	0.10038244724273682	0.26558823975118157
100.0	0.27695751190185547	0.05903944745659828	0.2893962565531655	0.24116331338882446	0.10161520540714264	0.26561547679891817
110.0	0.276510089635849	0.0598967969417572	0.28824953686735205	0.24116331338882446	0.10149697959423065	0.26493715580001675
120.0	0.272483229637146	0.05816192924976349	0.2872988801837467	0.23579418659210205	0.09839051216840744	0.2617507234445233
130.0	0.2720358073711395	0.05788877606391907	0.28560478921264804	0.23266218602657318	0.0977862998843193	0.25815899379800283
